"","V7221","V7101","V7206","V8512"
"937",0,0,1,0
"938",1,0,1,0
"939",0,0,1,1
"940",0,0,1,0
"941",0,0,1,1
"942",1,0,1,1
"943",1,1,1,0
"944",1,0,1,0
"945",0,0,0,1
"946",0,0,0,0
"947",1,0,1,1
"948",0,1,1,1
"949",0,0,1,1
"950",0,0,1,1
"951",1,0,1,1
"952",0,0,0,0
"953",1,0,1,1
"954",1,0,1,1
"955",0,1,1,1
"956",0,0,1,1
"957",1,0,1,1
"958",1,0,1,1
"959",1,0,1,1
"960",0,0,1,0
"961",0,0,1,1
"962",1,0,1,1
"963",1,1,1,1
"964",0,1,0,1
"965",1,0,1,1
"966",0,0,0,1
"967",0,0,0,1
"968",0,0,0,1
"969",0,1,1,1
"970",1,0,0,1
"971",0,0,1,1
"972",0,1,1,0
"973",1,0,1,1
"974",0,0,1,1
"975",1,0,1,0
"976",0,1,1,1
"977",0,0,1,0
"978",1,0,1,1
"979",1,1,1,0
"980",1,0,1,1
"981",0,1,1,1
"982",1,0,1,1
"983",1,0,1,1
"984",0,1,1,1
"985",1,0,1,1
"986",0,0,1,1
"987",1,0,1,1
"988",0,0,1,0
"989",0,0,0,1
"990",1,0,1,1
"991",0,0,1,1
"992",0,0,1,1
"993",1,0,1,1
"994",0,0,1,1
"995",0,0,1,1
"996",0,1,1,1
"997",0,0,1,0
"998",0,0,1,1
"999",0,0,0,0
"1000",1,0,0,0
"1001",0,1,0,1
"1002",0,0,1,1
"1003",0,1,1,0
"1004",0,0,1,1
"1005",0,1,1,0
"1006",0,0,0,1
"1007",1,0,1,1
"1008",0,0,1,1
"1009",1,0,1,1
"1010",0,0,1,1
"1011",1,0,0,1
"1012",1,0,1,1
"1013",0,0,1,0
"1014",0,1,1,0
"1015",0,0,1,1
"1016",0,0,1,1
"1017",0,0,1,1
"1018",0,1,1,1
"1019",0,0,0,0
"1020",0,1,1,1
"1021",0,0,1,0
"1022",0,0,1,1
"1023",0,0,1,1
"1024",0,0,0,1
"1025",1,0,1,1
"1026",1,0,1,1
"1027",0,0,1,1
"1028",0,0,1,1
"1029",0,1,0,1
"1030",1,0,1,1
"1031",0,0,0,1
"1032",0,0,1,1
"1033",0,0,0,1
"1034",1,1,1,1
"1035",0,0,0,1
"1036",0,0,1,0
"1037",0,0,0,1
"1038",0,0,1,1
"1039",1,0,1,1
"1040",0,1,0,0
"1041",0,1,1,0
"1042",1,0,1,0
"1043",0,0,1,1
"1044",1,0,0,1
"1045",1,0,1,1
"1046",0,0,0,1
"1047",0,0,1,0
"1048",0,0,1,1
"1049",0,1,1,1
"1050",0,0,0,0
"1051",1,0,1,1
"1052",1,0,1,1
"1053",0,0,1,1
"1054",0,0,0,0
"1055",1,0,1,1
"1056",0,0,1,1
"1057",1,0,1,1
"1058",1,0,1,1
"1059",0,0,0,1
"1060",0,1,1,0
"1061",0,0,1,1
"1062",0,0,1,1
"1063",1,0,0,1
"1064",0,0,1,0
"1065",0,0,1,0
"1066",0,1,0,1
"1067",1,0,1,1
"1068",0,1,1,1
"1069",1,0,1,1
"1070",0,0,1,1
"1071",0,1,1,0
"1072",0,1,0,1
"1073",0,0,0,0
"1074",0,0,1,1
"1075",0,0,1,1
"1076",0,0,0,1
"1077",0,1,1,0
"1078",1,0,1,1
"1079",1,0,1,1
"1080",1,0,1,1
"1081",1,0,1,1
"1082",0,1,1,1
"1083",1,0,1,1
"1084",0,0,1,1
"1085",1,1,1,1
"1086",1,0,1,1
"1087",0,0,0,1
"1088",1,0,0,1
"1089",0,1,1,1
"1090",0,0,1,1
"1091",0,1,1,1
"1092",1,0,1,1
"1093",0,0,1,1
"1094",1,0,1,1
"1095",0,0,0,1
"1096",0,0,1,1
"1097",0,0,0,1
"1098",0,1,1,0
"1099",1,0,0,1
"1100",1,0,1,1
"1101",0,0,1,1
"1102",0,0,1,1
"1103",1,0,0,0
"1104",0,0,1,1
"1105",0,0,0,0
"1106",0,0,1,1
"1107",1,0,1,1
"1108",1,0,1,0
"1109",0,0,1,1
"1110",1,0,1,1
"1111",0,0,1,1
"1112",1,0,0,1
"1113",0,0,0,0
"1114",1,0,1,1
"1115",0,0,0,1
"1116",0,1,1,1
"1117",1,0,1,1
"1118",0,0,1,0
"1119",0,0,1,0
"1120",0,0,1,1
"1121",0,1,0,1
"1122",0,0,1,1
"1123",0,0,1,1
"1124",0,1,0,1
"1125",0,0,1,1
"1126",0,0,1,0
"1127",0,0,1,1
"1128",1,1,1,0
"1129",1,0,1,1
"1130",1,0,1,1
"1131",0,0,1,1
"1132",0,0,1,0
"1133",0,0,1,1
"1134",0,0,1,1
"1135",1,0,1,1
"1136",0,0,1,0
"1137",0,0,1,1
"1138",0,0,1,0
"1139",0,0,0,0
