"","V7221","V7101","V8509","V8512"
"814",1,0,0,0
"815",0,1,0,1
"816",1,0,0,1
"817",1,0,0,1
"818",1,0,0,0
"819",0,1,0,1
"820",1,1,0,1
"821",1,0,0,1
"822",0,0,0,1
"823",1,0,0,1
"824",1,0,0,1
"825",1,1,1,0
"826",0,0,1,1
"827",1,0,0,1
"828",1,0,0,1
"829",1,0,0,1
"830",1,0,1,0
"831",0,0,0,1
"832",1,0,0,1
"833",0,0,0,1
"834",0,1,1,0
"835",0,0,0,1
"836",0,0,0,1
"837",0,1,0,1
"838",1,0,0,1
"839",1,0,0,1
"840",0,0,0,0
"841",0,0,0,0
"842",1,0,1,1
"843",1,0,0,0
"844",1,0,0,1
"845",0,0,0,1
"846",0,0,1,1
"847",0,1,1,0
"848",1,1,0,1
"849",0,1,0,1
"850",1,1,1,1
"851",0,0,1,1
"852",1,0,0,1
"853",0,0,0,1
"854",1,0,0,1
"855",1,0,0,1
"856",0,0,0,0
"857",1,0,1,1
"858",1,0,1,1
"859",0,1,0,1
"860",0,0,0,1
"861",0,0,0,1
"862",0,0,0,1
"863",1,0,0,1
"864",0,1,0,0
"865",1,0,0,1
"866",0,0,1,1
"867",0,0,1,1
"868",1,0,0,0
"869",0,0,0,1
"870",0,0,1,0
"871",0,1,0,1
"872",1,0,1,0
"873",1,0,0,1
"874",0,0,0,0
"875",1,0,0,1
"876",0,1,0,0
"877",0,0,0,1
"878",0,1,0,0
"879",1,0,0,1
"880",1,0,0,0
"881",0,0,1,0
"882",1,0,0,0
"883",1,0,0,1
"884",0,0,0,1
"885",0,0,0,0
"886",0,0,0,1
"887",0,0,1,0
"888",1,1,0,1
"889",1,0,0,0
"890",0,1,1,0
"891",0,0,0,1
"892",1,1,0,1
"893",1,0,0,1
"894",1,0,0,1
"895",1,0,0,1
"896",0,0,1,1
"897",0,0,0,1
"898",1,1,0,1
"899",0,1,0,0
"900",1,0,0,1
"901",0,0,0,1
"902",1,1,1,1
"903",0,0,0,1
"904",0,0,0,1
"905",1,0,0,1
"906",1,0,0,1
"907",1,0,0,1
"908",0,0,0,0
"909",0,1,0,0
"910",1,0,0,0
"911",1,0,0,0
"912",0,1,0,1
"913",0,0,1,0
"914",0,0,0,1
"915",1,0,0,0
"916",1,0,0,1
"917",0,1,0,1
"918",0,0,0,1
"919",1,0,1,0
"920",1,0,0,1
"921",1,1,0,0
"922",1,0,0,1
"923",1,0,0,0
"924",1,1,0,1
"925",1,0,0,1
"926",1,0,0,0
"927",0,1,1,0
"928",0,1,0,1
"929",1,0,0,1
"930",0,1,0,1
"931",1,1,0,1
"932",0,0,1,0
"933",1,0,0,0
"934",0,0,0,1
"935",0,0,1,0
"936",1,0,0,1
"937",1,0,0,1
"938",1,1,0,0
"939",1,0,0,0
"940",0,0,1,1
"941",0,0,0,0
"942",1,0,0,1
"943",0,1,1,1
"944",0,0,0,1
"945",0,0,0,1
"946",1,0,0,1
"947",0,0,0,0
"948",1,0,0,1
"949",1,0,0,1
"950",0,1,0,1
"951",1,0,0,1
"952",1,0,0,1
"953",1,0,0,1
"954",1,0,0,1
"955",1,0,0,0
"956",1,0,0,1
"957",1,0,0,1
"958",1,1,0,1
"959",0,1,0,1
"960",1,0,0,1
"961",1,0,0,1
"962",0,0,0,1
"963",1,0,0,1
"964",0,1,0,1
"965",1,0,0,1
"966",0,0,0,1
"967",0,1,0,0
"968",1,0,0,1
"969",1,0,0,1
"970",1,0,1,0
"971",0,1,1,1
"972",0,0,0,0
"973",1,0,0,1
"974",1,1,1,0
"975",1,0,0,1
"976",1,1,0,1
"977",1,0,0,1
"978",1,0,0,1
"979",1,1,0,1
"980",1,0,0,1
"981",0,0,0,1
"982",1,0,0,1
"983",1,0,1,0
"984",0,0,0,1
"985",1,0,0,1
"986",0,0,0,1
"987",0,0,1,1
"988",1,0,0,1
"989",1,0,0,1
"990",0,0,0,1
"991",1,1,0,1
"992",0,0,0,0
"993",0,0,0,1
"994",0,0,0,0
"995",1,0,0,0
"996",0,1,0,1
"997",0,0,0,1
"998",0,1,0,0
"999",0,0,0,1
"1000",1,1,0,0
"1001",0,0,1,1
"1002",1,0,0,1
"1003",0,0,0,1
"1004",1,0,0,1
"1005",1,0,1,1
"1006",1,0,0,1
"1007",1,0,0,1
"1008",0,0,0,0
"1009",0,1,0,0
"1010",0,0,0,1
"1011",0,0,0,1
"1012",0,0,0,1
"1013",0,1,1,1
"1014",0,0,0,0
"1015",0,1,1,1
"1016",0,0,0,0
"1017",1,0,0,1
"1018",1,0,0,1
"1019",0,0,0,1
"1020",1,0,0,1
"1021",1,0,0,1
"1022",0,0,0,1
"1023",1,0,0,1
"1024",0,1,0,1
"1025",1,0,0,1
"1026",0,0,0,1
"1027",0,0,1,1
"1028",0,0,0,1
"1029",1,1,0,1
"1030",0,0,1,1
"1031",0,0,0,0
"1032",0,0,0,1
"1033",0,0,0,1
"1034",1,0,0,1
"1035",0,1,0,0
"1036",0,1,1,0
"1037",1,0,0,0
"1038",1,0,0,1
"1039",1,0,0,1
"1040",1,0,0,1
"1041",0,0,0,1
"1042",0,0,0,0
"1043",0,0,0,1
"1044",0,1,0,1
"1045",0,0,1,0
"1046",1,0,0,1
"1047",1,0,0,1
"1048",1,0,0,1
"1049",0,0,0,0
"1050",1,0,0,1
