"","V7221","V7202","V7206","V7215"
"534",1,1,1,1
"535",1,1,1,0
"536",0,0,1,1
"537",1,1,0,0
"538",1,1,1,1
"539",1,1,0,0
"540",1,1,1,0
"541",0,1,0,0
"542",1,1,1,1
"543",1,1,0,0
"544",1,1,1,0
"545",0,0,0,0
"546",0,1,0,0
"547",1,1,1,1
"548",1,0,1,0
"549",0,1,0,1
"550",1,1,1,1
"551",0,1,0,1
"552",1,1,1,1
"553",0,1,0,1
"554",1,1,0,0
"555",0,1,0,0
"556",0,1,1,0
"557",0,1,0,0
"558",0,1,1,0
"559",0,1,1,0
"560",1,1,1,0
"561",0,1,0,0
"562",0,0,0,0
"563",1,1,1,0
"564",0,1,1,1
"565",1,1,1,1
"566",0,1,1,0
"567",0,1,0,1
"568",1,1,0,0
"569",1,1,0,0
"570",0,1,0,0
"571",0,0,0,0
"572",1,1,1,1
"573",1,1,1,1
"574",1,1,0,0
"575",1,1,1,1
"576",1,1,0,0
"577",0,1,1,0
"578",0,1,1,0
"579",0,1,1,1
"580",0,1,0,1
"581",1,1,1,1
"582",1,1,0,1
"583",1,1,0,1
"584",1,1,1,1
"585",0,1,1,0
"586",0,0,1,1
"587",0,1,0,0
"588",0,1,1,0
"589",1,1,0,0
"590",1,1,1,1
"591",0,1,1,0
"592",0,1,0,1
"593",0,1,1,1
"594",0,1,1,1
"595",1,1,1,0
"596",0,1,0,0
"597",1,1,0,1
"598",1,1,0,1
"599",1,1,1,0
"600",1,1,1,1
"601",1,1,0,0
"602",1,1,1,1
"603",1,1,0,1
"604",0,1,1,1
"605",1,1,1,0
"606",1,0,0,1
"607",0,1,1,1
"608",1,1,1,1
"609",0,1,1,0
"610",1,1,1,1
"611",1,1,1,1
"612",1,1,1,1
"613",0,0,0,0
"614",1,1,1,1
"615",1,1,1,0
"616",1,1,0,1
"617",1,1,1,0
"618",1,1,1,0
"619",1,1,1,1
"620",1,1,1,0
"621",1,1,1,0
"622",1,1,1,0
"623",1,1,1,0
"624",0,0,0,0
"625",1,1,1,1
"626",0,1,0,0
"627",1,1,1,0
"628",1,1,1,1
"629",0,1,1,0
"630",0,1,0,1
"631",1,1,1,1
"632",0,1,1,0
"633",0,1,0,1
"634",1,1,0,1
"635",0,1,0,1
"636",1,1,1,1
"637",1,1,0,0
"638",0,1,1,1
"639",0,1,0,0
"640",1,1,0,1
"641",1,1,1,1
"642",1,1,1,0
"643",1,1,1,0
"644",1,1,1,0
"645",1,1,1,1
"646",1,1,1,0
"647",0,1,0,0
"648",1,1,1,1
"649",1,1,1,0
"650",1,1,0,1
"651",1,1,1,0
"652",1,1,1,0
"653",1,1,1,0
"654",0,1,1,1
"655",0,1,1,1
"656",1,1,1,1
"657",0,1,1,0
"658",1,1,0,0
"659",0,1,0,0
"660",1,1,1,0
"661",0,1,1,0
"662",1,1,1,1
"663",0,1,1,0
"664",1,1,0,0
"665",0,1,1,0
"666",1,0,1,1
"667",1,1,1,1
"668",1,1,1,1
"669",1,1,1,0
"670",1,1,1,1
"671",1,1,1,1
"672",1,1,1,0
"673",0,1,1,0
"674",1,1,1,0
"675",1,1,0,0
"676",1,1,1,1
"677",1,1,1,1
"678",1,1,0,1
"679",1,1,1,0
"680",1,1,1,1
"681",1,1,1,1
"682",1,1,1,1
"683",0,1,1,1
"684",1,1,1,0
"685",1,1,1,1
"686",0,1,1,0
"687",0,1,0,1
"688",0,1,1,0
"689",1,1,1,1
"690",0,1,1,1
"691",1,1,1,1
"692",1,1,1,0
"693",1,1,1,1
"694",0,1,1,1
"695",0,1,0,0
"696",1,1,1,1
"697",1,1,1,0
"698",1,1,0,0
"699",0,1,0,1
"700",0,1,1,1
"701",0,1,1,0
"702",1,1,1,0
"703",0,1,1,0
"704",0,1,1,1
"705",0,1,1,0
"706",1,1,0,1
"707",0,0,0,0
"708",0,1,1,1
"709",0,1,1,0
"710",1,1,0,1
"711",0,1,0,0
"712",0,1,1,0
"713",0,1,1,0
"714",1,1,1,1
"715",0,1,0,1
"716",1,1,1,1
"717",0,1,1,1
"718",1,1,1,1
"719",1,1,1,1
"720",0,1,1,0
"721",0,1,1,0
"722",0,1,1,1
"723",0,1,1,0
"724",1,1,1,1
"725",1,1,1,0
"726",0,1,0,1
"727",1,1,0,0
"728",0,0,0,0
"729",0,1,0,1
"730",0,1,1,0
"731",0,1,1,1
"732",1,1,0,1
"733",1,1,1,0
"734",0,1,1,1
"735",1,1,1,0
"736",1,1,0,1
"737",1,1,1,1
"738",0,1,0,1
"739",0,1,1,0
"740",1,1,0,1
"741",0,1,0,1
"742",0,1,0,0
"743",0,1,0,0
"744",0,1,0,0
"745",0,1,1,0
"746",1,1,1,0
"747",0,1,1,0
"748",1,1,0,1
"749",0,0,1,0
"750",1,1,1,0
"751",1,1,1,0
"752",1,1,0,1
"753",1,1,1,0
"754",0,0,0,0
"755",1,1,1,1
"756",1,1,1,0
"757",1,1,1,1
"758",1,1,1,0
"759",0,1,0,0
"760",0,1,1,0
"761",0,1,0,0
"762",1,1,1,1
"763",1,1,1,1
"764",0,1,1,1
"765",1,1,1,1
"766",0,1,1,0
"767",0,1,1,0
"768",1,1,1,0
"769",0,1,1,1
"770",1,1,1,1
"771",1,1,1,0
"772",1,1,1,1
"773",1,1,0,1
"774",1,1,1,1
"775",1,1,1,1
"776",0,1,1,0
"777",0,1,1,1
"778",1,1,1,1
"779",0,1,1,0
"780",1,1,0,0
"781",1,1,1,1
"782",0,1,1,0
"783",1,1,1,0
"784",0,0,0,0
"785",1,1,1,0
"786",1,1,0,1
"787",1,1,1,1
"788",0,1,1,0
"789",0,1,1,0
"790",1,1,1,0
"791",0,1,0,0
"792",0,1,0,0
"793",1,1,1,0
"794",1,1,1,0
"795",0,1,0,1
"796",1,1,1,0
"797",0,1,1,0
"798",1,1,1,0
"799",0,1,1,0
"800",1,1,0,0
"801",1,1,1,1
"802",1,1,1,1
"803",1,1,1,1
"804",0,1,1,0
"805",0,1,1,1
"806",0,1,1,0
"807",0,1,1,0
"808",1,1,1,1
"809",0,1,1,0
"810",0,1,1,1
"811",0,1,1,0
"812",0,0,0,0
"813",1,1,0,0
"814",1,1,0,1
"815",1,1,1,1
"816",0,0,1,0
"817",1,1,1,1
"818",1,1,1,1
"819",1,1,0,1
"820",1,1,1,1
"821",1,1,1,1
"822",0,1,1,0
"823",1,1,1,0
"824",0,1,0,0
"825",1,1,1,0
"826",0,1,1,0
"827",0,1,0,0
"828",1,1,1,1
"829",1,1,1,1
"830",1,1,1,1
"831",0,1,1,1
"832",1,1,0,0
"833",1,1,1,0
"834",1,1,1,0
"835",1,1,1,0
"836",1,1,1,1
"837",0,1,1,0
"838",0,1,1,0
"839",0,1,1,0
"840",1,1,1,1
"841",0,0,0,1
"842",1,1,1,1
"843",1,1,1,1
"844",1,1,1,0
"845",0,1,1,1
"846",1,1,1,1
"847",0,0,0,0
"848",1,1,1,0
"849",1,1,1,1
"850",1,1,1,1
"851",0,1,1,1
"852",1,1,0,0
"853",1,1,1,1
"854",1,1,1,1
"855",1,1,1,0
"856",0,1,1,0
"857",1,1,1,0
"858",0,1,0,0
"859",1,1,0,1
"860",1,1,1,1
"861",0,1,0,1
"862",0,1,1,1
"863",1,1,1,0
"864",1,1,1,1
"865",1,1,1,0
"866",1,1,1,0
"867",1,1,1,1
"868",1,1,1,1
"869",1,1,1,1
"870",0,1,1,0
"871",0,0,0,0
"872",0,1,1,1
"873",1,1,1,1
"874",1,1,1,0
"875",0,1,1,0
"876",1,1,0,0
"877",0,1,1,1
"878",1,1,0,1
"879",0,1,0,1
"880",0,1,1,0
"881",1,1,1,0
"882",0,1,1,1
"883",1,1,1,1
"884",1,1,1,0
"885",1,1,1,0
"886",0,1,0,0
"887",0,0,0,0
"888",1,1,1,0
"889",1,1,1,1
"890",1,1,1,1
"891",0,1,0,0
"892",1,1,1,0
"893",0,1,1,1
"894",1,1,1,1
"895",0,1,1,1
"896",0,1,0,1
"897",0,1,1,1
"898",0,1,1,1
"899",0,1,1,1
"900",0,1,1,1
"901",0,1,1,0
"902",0,0,0,1
"903",0,1,1,0
"904",1,1,1,0
"905",0,1,1,1
"906",1,1,1,1
"907",1,1,1,0
"908",0,0,0,1
"909",0,1,1,1
"910",1,1,1,0
"911",0,0,0,0
"912",1,1,1,0
