"","V7221","V7563","V8514"
"806",0,0,0
"807",1,0,1
"808",0,1,0
"809",1,0,1
"810",1,0,1
"811",1,0,1
"812",0,0,1
"813",0,0,0
"814",0,0,1
"815",1,0,1
"816",1,0,0
"817",0,1,0
"818",0,1,0
"819",0,0,1
"820",0,1,0
"821",0,0,0
"822",0,0,1
"823",0,0,0
"824",0,0,0
"825",0,1,0
"826",0,0,1
"827",1,0,0
"828",0,0,0
"829",1,0,0
"830",0,0,0
"831",0,0,0
"832",1,0,1
"833",0,0,0
"834",1,0,0
"835",0,0,1
"836",1,0,0
"837",0,0,0
"838",1,0,1
"839",0,0,0
"840",1,0,1
"841",1,0,0
"842",1,0,1
"843",0,0,0
"844",0,0,0
"845",0,0,0
"846",0,0,1
"847",0,0,0
"848",0,1,0
"849",0,0,0
"850",1,0,0
"851",0,0,1
"852",1,0,0
"853",0,0,0
"854",0,0,0
"855",1,0,1
"856",1,0,1
"857",0,0,0
"858",1,0,1
"859",0,1,0
"860",0,1,0
"861",0,0,0
"862",0,0,0
"863",0,0,1
"864",0,0,0
"865",1,0,0
"866",0,0,1
"867",0,0,0
"868",1,0,1
"869",0,1,0
"870",1,0,0
"871",0,1,0
"872",1,0,0
"873",0,0,0
"874",0,1,0
"875",0,0,1
"876",0,0,0
"877",0,0,0
"878",0,0,0
"879",1,1,0
"880",1,0,0
"881",1,0,1
"882",0,0,0
"883",0,0,1
"884",1,0,1
"885",0,0,1
"886",0,1,0
"887",1,0,0
"888",0,0,0
"889",0,0,0
"890",0,0,1
"891",0,0,0
"892",0,1,0
"893",0,0,0
"894",0,0,0
"895",0,0,0
"896",1,0,0
"897",0,1,0
"898",0,0,0
"899",0,0,0
"900",1,0,1
"901",1,0,0
"902",1,0,0
"903",0,0,0
"904",0,0,1
"905",0,0,1
"906",1,0,1
"907",1,0,1
"908",0,0,1
"909",0,0,1
"910",0,1,0
"911",1,0,0
"912",1,0,1
"913",0,0,1
"914",1,0,0
"915",1,0,1
"916",0,1,0
"917",0,0,1
"918",0,0,0
"919",0,0,0
"920",0,0,0
"921",0,0,1
"922",0,0,1
"923",0,0,1
"924",0,0,0
"925",1,0,0
"926",0,0,0
"927",0,0,1
"928",0,0,1
"929",0,0,1
"930",0,0,0
"931",0,0,1
"932",1,0,1
"933",0,0,1
"934",0,0,0
"935",1,1,0
"936",0,0,0
"937",0,0,0
"938",1,0,1
"939",0,0,1
"940",1,0,0
"941",0,0,1
"942",1,0,0
"943",0,0,0
"944",1,0,0
"945",1,0,0
"946",0,1,0
"947",0,0,1
"948",0,0,0
"949",1,0,0
"950",1,1,0
"951",0,0,1
"952",0,0,0
"953",0,0,1
"954",1,0,1
"955",1,0,0
"956",0,0,0
"957",0,0,1
"958",0,0,0
"959",1,0,0
"960",0,0,0
"961",0,1,0
"962",1,0,0
"963",1,0,1
"964",1,0,1
"965",0,0,1
"966",1,0,1
"967",0,0,0
"968",1,0,1
"969",0,0,0
"970",0,0,0
"971",0,0,1
"972",0,0,1
"973",1,1,0
"974",1,1,0
"975",1,0,0
"976",0,0,0
"977",0,0,1
"978",1,0,0
"979",0,0,0
"980",0,0,0
"981",0,0,1
"982",1,0,1
"983",0,0,1
"984",1,0,1
"985",1,0,0
"986",0,0,1
"987",0,0,0
"988",1,0,1
"989",0,1,0
"990",0,0,1
"991",1,0,1
"992",0,0,0
"993",0,0,0
"994",0,0,1
"995",0,0,1
"996",1,0,0
"997",0,0,0
"998",1,1,0
"999",1,0,1
"1000",1,1,0
"1001",0,0,0
"1002",0,0,1
"1003",0,0,1
"1004",0,0,1
"1005",0,0,0
"1006",0,0,1
"1007",0,0,1
"1008",1,0,1
"1009",1,0,1
"1010",1,0,1
"1011",0,0,0
"1012",0,0,1
"1013",0,0,0
"1014",1,1,0
"1015",1,0,0
"1016",1,0,0
"1017",1,1,0
"1018",1,0,0
"1019",1,0,1
"1020",0,0,1
"1021",0,0,0
"1022",1,0,0
"1023",1,1,0
"1024",1,1,0
"1025",0,0,1
"1026",0,0,0
"1027",1,0,1
"1028",1,0,0
"1029",0,0,1
"1030",0,0,0
"1031",1,0,1
"1032",1,0,1
"1033",0,0,1
"1034",0,0,1
"1035",1,1,0
"1036",0,0,1
"1037",0,1,0
"1038",0,0,1
"1039",0,0,1
"1040",0,1,0
"1041",0,0,1
"1042",0,0,1
"1043",0,0,1
"1044",0,0,1
"1045",1,0,1
"1046",1,0,1
"1047",0,1,0
"1048",0,0,0
"1049",0,0,0
"1050",0,0,0
"1051",0,1,0
"1052",1,0,1
"1053",0,0,0
"1054",0,0,0
"1055",1,0,1
"1056",1,0,0
"1057",0,0,0
"1058",0,0,0
"1059",0,0,0
"1060",0,0,1
"1061",0,1,0
"1062",0,0,1
"1063",0,0,1
"1064",0,0,0
"1065",1,0,0
"1066",1,0,1
"1067",0,0,1
"1068",0,0,1
"1069",0,1,0
"1070",0,1,0
"1071",1,0,0
"1072",1,1,0
"1073",1,0,0
"1074",0,1,0
