"","V7221","V7215","V8527","V7202","V8512","V8526","V7206","V8509","V8530"
"448",0,1,0,1,1,1,1,0,1
"449",0,0,1,0,1,1,0,0,1
"450",1,0,0,1,1,1,1,0,1
"451",0,1,1,0,0,1,1,1,1
"452",1,0,1,1,1,1,0,0,1
"453",0,1,1,1,0,1,1,0,0
"454",0,0,0,1,0,0,1,0,0
"455",0,1,0,0,1,1,1,0,0
"456",1,1,1,0,1,1,1,0,1
"457",0,0,0,1,1,1,0,1,1
"458",1,0,0,1,0,0,1,1,0
"459",0,0,0,1,1,1,1,1,1
"460",0,0,1,0,1,1,1,0,1
"461",0,0,0,1,1,1,1,0,1
"462",1,1,1,0,0,1,1,0,1
"463",1,1,1,1,1,1,1,0,1
"464",0,1,1,0,1,1,1,0,1
"465",1,0,1,1,1,1,1,1,1
"466",1,1,1,0,1,1,0,0,1
"467",1,1,1,0,1,1,1,0,1
"468",0,1,0,0,0,0,1,0,0
"469",1,1,0,1,1,0,1,0,1
"470",1,0,0,1,1,1,1,0,1
"471",1,1,0,0,1,1,1,0,1
"472",1,0,1,1,1,1,1,0,0
"473",0,1,0,0,1,1,1,0,1
"474",0,0,1,1,1,0,1,0,1
"475",1,0,0,1,0,0,1,0,0
"476",0,1,0,0,1,0,1,0,1
"477",1,1,1,1,0,1,1,0,0
"478",1,1,1,1,1,1,1,0,1
"479",0,0,0,0,1,0,1,1,0
"480",0,0,0,1,1,0,1,0,0
"481",0,0,1,1,0,1,1,0,1
"482",1,1,1,1,0,1,1,0,1
"483",0,0,0,1,0,1,1,1,0
"484",1,1,1,0,0,1,1,0,0
"485",1,1,1,1,1,1,1,0,1
"486",1,0,1,0,0,1,0,1,1
"487",0,1,0,0,1,0,1,0,0
"488",1,1,1,0,1,1,1,0,1
"489",1,1,0,1,1,0,0,1,1
"490",1,0,1,0,1,1,1,0,1
"491",1,1,1,0,1,1,1,0,1
"492",1,1,1,0,0,1,1,1,1
"493",1,1,1,0,1,1,1,0,1
"494",0,0,0,1,0,0,1,0,0
"495",1,1,1,0,1,0,1,0,1
"496",0,0,1,0,1,1,1,0,1
"497",0,0,1,1,1,0,1,0,1
"498",1,0,0,1,0,0,1,0,0
"499",1,1,1,0,1,1,1,0,1
"500",0,0,0,1,1,1,1,0,0
"501",0,1,1,0,0,1,1,1,1
"502",1,1,1,1,1,0,1,0,1
"503",1,1,1,1,1,1,1,0,1
"504",1,1,1,0,0,0,1,0,0
"505",0,0,0,0,1,0,0,0,1
"506",1,0,1,1,1,0,0,0,1
"507",0,0,1,1,1,1,0,0,1
"508",1,1,1,0,1,1,1,0,1
"509",0,0,0,0,1,1,1,0,1
"510",1,0,0,1,1,1,1,0,1
"511",1,1,0,1,0,0,1,1,0
"512",0,1,1,1,1,0,1,1,0
"513",1,1,1,0,1,1,1,0,1
"514",1,1,1,1,1,0,1,0,1
"515",1,0,0,1,0,0,1,1,0
"516",1,1,1,1,1,1,1,0,0
"517",0,0,0,1,1,0,1,0,0
"518",0,0,0,0,0,0,0,1,0
"519",0,1,1,0,1,1,0,0,1
"520",0,1,0,0,1,0,1,0,1
"521",1,1,1,1,1,1,1,0,1
"522",1,1,1,0,1,0,1,0,1
"523",0,1,0,1,0,0,1,0,0
"524",1,0,1,1,0,0,1,0,1
"525",1,1,1,1,1,1,0,0,1
"526",0,1,1,0,1,1,1,0,1
"527",0,0,1,0,0,0,0,1,0
"528",0,1,1,1,1,1,1,0,0
"529",1,1,0,1,1,0,1,0,0
"530",0,0,1,0,1,0,1,0,1
"531",1,1,1,1,1,0,1,0,0
"532",1,1,1,0,1,1,1,0,1
"533",0,0,0,1,0,0,1,0,1
"534",1,1,1,0,1,1,1,1,0
"535",1,0,1,1,1,1,1,1,1
"536",0,1,1,1,1,0,1,0,0
"537",0,1,1,0,1,1,1,0,1
"538",0,0,0,1,1,0,1,0,1
"539",1,1,0,1,1,1,1,0,0
"540",0,1,1,0,1,1,1,1,1
"541",1,1,1,0,0,1,0,0,1
"542",0,1,0,0,0,0,1,1,1
"543",1,1,1,1,0,1,1,1,0
"544",1,1,1,0,1,1,0,0,1
"545",0,0,1,0,0,1,0,0,1
"546",1,0,1,0,1,1,1,0,1
"547",0,1,1,1,0,1,1,0,0
"548",1,1,1,1,1,1,1,0,1
"549",0,1,1,0,0,1,1,1,1
"550",1,0,0,0,0,0,1,0,0
"551",1,1,1,0,1,1,1,0,1
"552",0,0,1,1,1,1,1,0,1
"553",0,0,1,0,0,1,1,0,1
"554",0,0,1,1,1,0,1,0,1
"555",0,1,1,0,0,1,0,1,1
"556",1,1,0,0,1,1,1,0,1
"557",1,0,1,1,0,1,1,0,1
"558",0,1,1,0,0,1,1,1,1
"559",1,1,0,0,1,1,1,0,0
"560",1,1,1,0,1,1,1,0,1
"561",0,1,0,0,1,0,1,1,1
"562",1,0,1,0,1,1,0,0,1
"563",0,1,0,0,0,0,1,0,1
"564",1,1,1,0,1,1,1,0,1
"565",1,1,0,0,1,0,0,1,0
"566",1,1,1,1,1,1,1,0,1
"567",1,1,1,0,1,1,1,0,1
"568",1,1,1,1,1,1,1,0,0
"569",0,0,0,0,0,1,1,0,0
"570",1,1,1,0,0,0,1,0,1
"571",0,1,1,1,0,0,0,1,0
"572",0,1,1,0,1,1,0,0,1
"573",1,1,1,0,0,1,1,0,1
"574",1,0,1,0,1,1,0,0,1
"575",0,0,1,1,1,1,1,0,1
"576",0,0,0,0,1,1,1,0,0
"577",1,1,1,0,0,1,1,1,0
"578",1,0,1,0,0,1,1,0,1
"579",1,1,1,1,1,1,1,0,1
"580",1,0,0,1,0,0,0,0,1
"581",0,0,0,0,0,0,1,1,1
"582",0,0,1,1,1,0,1,0,1
"583",0,0,0,1,1,0,1,0,1
"584",0,1,0,0,0,0,1,1,0
"585",1,1,0,0,1,1,1,0,1
"586",1,1,1,1,0,1,1,0,0
"587",0,0,0,1,0,1,0,0,0
"588",0,0,0,0,1,0,1,1,0
"589",0,0,1,0,1,0,1,0,0
"590",1,1,1,1,1,1,1,0,1
"591",0,1,1,1,0,1,0,0,1
"592",1,1,1,1,1,1,1,0,1
"593",0,0,0,1,1,0,1,0,1
"594",1,1,1,1,1,0,1,0,1
"595",1,1,1,1,1,0,1,0,0
"596",1,0,1,0,1,1,1,0,1
"597",1,0,1,0,0,1,1,0,1
"598",1,1,1,0,1,1,1,0,1
"599",1,1,1,1,1,0,1,0,1
"600",0,0,1,0,1,1,0,0,1
"601",0,0,0,0,1,1,1,0,1
"602",0,1,1,0,1,1,0,0,1
"603",1,1,1,1,1,1,0,0,1
"604",0,0,0,1,1,1,1,0,1
"605",1,1,0,1,0,0,1,1,0
"606",0,1,1,0,0,1,1,0,0
"607",0,0,0,1,0,0,1,0,0
"608",1,1,1,1,1,1,1,0,1
"609",1,1,1,1,1,1,1,0,1
"610",1,1,1,0,1,1,1,0,1
"611",1,1,1,1,1,1,1,0,1
"612",1,0,0,1,1,0,1,0,0
"613",1,0,0,0,1,1,1,0,0
"614",0,1,1,0,1,1,1,1,1
"615",0,1,0,0,1,0,1,0,0
"616",1,0,0,1,1,0,1,0,0
"617",0,0,0,0,0,0,1,0,1
"618",0,1,0,0,1,0,1,0,0
"619",1,1,0,1,0,0,0,0,0
"620",0,0,1,0,1,1,0,0,1
"621",0,0,1,0,1,1,1,0,1
"622",0,0,0,1,1,1,1,0,1
"623",1,0,0,0,0,1,1,0,0
"624",0,1,1,1,1,0,0,1,1
"625",1,0,1,1,1,1,1,0,0
"626",1,0,1,1,1,1,1,0,1
"627",1,1,1,1,1,0,1,1,0
"628",1,1,1,1,1,1,1,0,1
"629",0,1,0,0,0,1,1,0,0
"630",0,1,1,0,1,0,1,0,1
"631",0,0,0,1,1,0,1,0,1
"632",0,0,1,0,1,1,1,1,1
"633",0,0,1,0,0,0,0,0,1
"634",1,1,1,1,1,1,1,0,1
"635",1,1,0,1,1,1,1,0,0
"636",1,1,0,1,1,1,1,0,1
"637",0,0,1,1,1,1,1,0,1
"638",1,1,1,0,1,1,1,0,1
"639",0,1,1,1,1,1,0,0,0
"640",1,1,1,1,1,0,1,0,1
"641",0,0,1,0,1,1,0,0,1
