"","V8517","V8502","V8527","V7552","V8512"
"695",1,0,0,1,1
"696",1,0,0,1,0
"697",0,0,1,0,1
"698",0,0,0,1,1
"699",0,0,1,1,0
"700",0,0,0,0,0
"701",0,0,1,1,1
"702",0,0,1,0,1
"703",0,0,1,1,1
"704",0,0,0,0,0
"705",0,0,0,1,0
"706",0,0,0,1,1
"707",0,0,1,0,0
"708",0,0,1,1,1
"709",0,1,1,1,1
"710",0,0,1,0,1
"711",0,0,1,1,1
"712",0,0,1,1,1
"713",0,0,1,0,1
"714",0,0,1,1,1
"715",0,0,1,0,1
"716",0,0,1,1,1
"717",0,0,0,1,1
"718",0,0,1,1,1
"719",0,0,1,1,1
"720",0,0,0,0,1
"721",0,1,1,1,1
"722",0,0,0,1,1
"723",0,0,0,1,0
"724",0,0,1,1,1
"725",0,1,0,1,0
"726",0,0,0,1,1
"727",0,1,1,0,0
"728",0,1,0,0,1
"729",0,0,0,1,1
"730",0,0,1,1,0
"731",0,0,1,1,1
"732",1,0,1,1,1
"733",0,0,1,1,1
"734",0,0,1,0,1
"735",0,1,0,1,0
"736",0,0,0,1,0
"737",1,0,0,1,0
"738",0,0,1,1,1
"739",0,0,0,1,1
"740",0,0,0,1,1
"741",1,1,1,1,0
"742",1,1,1,1,0
"743",0,0,0,1,1
"744",1,1,1,1,0
"745",0,0,0,1,1
"746",0,0,1,1,1
"747",0,1,1,1,0
"748",0,0,1,0,1
"749",0,0,0,1,0
"750",0,0,1,0,1
"751",0,0,0,0,1
"752",0,1,0,0,1
"753",0,0,0,0,1
"754",0,0,1,1,1
"755",0,0,1,0,1
"756",0,0,0,1,0
"757",0,0,1,1,1
"758",0,0,1,1,0
"759",0,0,1,1,1
"760",0,0,0,1,0
"761",0,0,0,0,0
"762",0,0,1,1,1
"763",0,0,1,1,0
"764",0,0,1,1,1
"765",0,1,1,0,0
"766",0,1,1,1,0
"767",0,0,1,1,0
"768",1,1,1,1,1
"769",0,1,0,1,0
"770",1,1,0,1,1
"771",0,0,1,1,1
"772",0,0,1,1,1
"773",0,1,0,1,0
"774",0,0,1,0,1
"775",1,0,1,1,1
"776",0,0,1,1,1
"777",1,1,1,0,1
"778",0,1,1,1,0
"779",0,1,1,1,0
"780",0,0,1,0,1
"781",0,0,1,0,0
"782",0,0,1,1,0
"783",1,1,1,0,0
"784",0,0,1,0,1
"785",1,0,0,1,1
"786",0,0,0,0,0
"787",0,0,1,1,1
"788",0,0,1,1,1
"789",0,0,1,0,1
"790",0,1,0,1,0
"791",0,0,1,1,1
"792",0,1,0,1,0
"793",0,1,0,1,0
