"","V7221","V7101","V7202","V7206","V8512","V8517","V8526"
"743",1,1,0,1,1,1,1
"744",0,0,1,1,0,0,0
"745",0,1,0,1,1,0,1
"746",0,0,0,0,1,0,1
"747",0,0,0,0,1,0,1
"748",1,0,1,1,0,0,0
"749",0,0,1,1,1,0,1
"750",0,1,1,0,0,0,0
"751",0,0,0,1,0,0,0
"752",0,0,0,0,1,0,1
"753",1,1,1,1,1,1,0
"754",0,0,0,1,1,0,1
"755",0,0,0,1,1,0,0
"756",0,0,0,1,1,0,1
"757",1,0,1,1,1,0,1
"758",0,0,0,1,1,0,1
"759",0,0,0,1,1,0,1
"760",1,1,1,1,1,0,1
"761",0,1,0,1,1,0,1
"762",1,0,0,1,1,0,1
"763",1,0,1,1,1,1,1
"764",1,0,1,1,1,0,0
"765",0,1,0,1,1,1,0
"766",0,0,1,0,0,1,0
"767",1,0,1,1,1,0,1
"768",0,0,1,0,1,0,1
"769",0,0,0,1,1,0,1
"770",1,0,0,1,1,0,0
"771",0,1,0,1,0,0,0
"772",1,0,1,1,1,0,1
"773",0,0,1,1,0,0,1
"774",1,0,0,1,1,0,1
"775",1,0,1,1,0,0,0
"776",1,0,0,1,1,0,0
"777",0,0,0,1,0,0,0
"778",0,0,0,1,1,0,0
"779",0,1,1,1,1,0,1
"780",1,0,1,1,1,0,1
"781",1,0,1,1,0,1,0
"782",0,0,0,1,1,0,1
"783",1,0,1,1,0,1,0
"784",0,0,0,1,1,0,0
"785",1,0,0,0,1,0,0
"786",0,0,1,1,1,0,1
"787",0,0,1,1,1,0,1
"788",1,0,0,1,1,0,1
"789",0,0,0,0,0,0,1
"790",0,0,0,1,1,0,0
"791",1,0,0,1,1,0,1
"792",0,0,1,0,0,0,1
"793",1,0,1,1,1,0,0
"794",0,0,0,1,1,0,1
"795",0,0,1,1,1,0,1
"796",0,0,1,1,0,0,0
"797",1,1,1,0,0,0,1
"798",0,0,0,1,1,0,1
"799",1,0,1,1,1,0,1
"800",0,0,1,1,0,1,0
"801",0,0,1,0,0,1,0
"802",1,1,0,0,0,1,0
"803",1,0,0,1,0,0,1
"804",1,0,0,1,1,0,0
"805",1,0,1,1,1,0,1
"806",1,0,0,0,0,0,0
"807",1,0,1,0,0,0,1
"808",1,0,1,1,0,1,1
"809",0,0,0,1,1,0,0
