"","V7118","V8502","V8512","V8509","V8530","V7215"
"499",1,1,0,1,0,0
"500",0,0,0,0,0,0
"501",1,1,0,1,0,0
"502",1,0,0,0,0,1
"503",1,0,1,0,0,1
"504",1,0,0,0,0,1
"505",1,0,0,0,0,0
"506",1,0,0,0,0,1
"507",0,0,0,0,0,0
"508",1,0,0,0,0,1
"509",0,0,0,0,1,0
"510",1,0,0,0,0,0
"511",0,0,0,0,0,1
"512",1,0,0,0,0,1
"513",0,0,0,0,0,1
"514",1,0,0,0,0,0
"515",0,0,0,0,0,1
"516",1,0,0,0,0,1
"517",1,0,0,0,0,0
"518",1,0,0,0,0,0
"519",1,0,1,0,0,0
"520",0,0,1,0,1,1
"521",1,0,0,0,0,1
"522",1,1,1,0,0,1
"523",1,0,1,0,1,1
"524",0,0,0,0,1,0
"525",1,0,0,0,0,0
"526",1,0,0,0,0,0
"527",0,0,0,0,0,0
"528",1,0,1,0,1,0
"529",1,0,0,0,0,1
"530",1,0,0,0,0,1
"531",1,0,1,0,0,0
"532",1,0,0,0,0,1
"533",0,0,0,0,0,1
"534",0,0,1,0,1,0
"535",1,0,0,0,0,0
"536",0,0,0,0,0,1
"537",0,0,0,0,0,1
"538",0,1,1,1,1,0
"539",1,0,0,0,0,1
"540",1,1,1,1,0,1
"541",1,0,0,0,0,0
"542",1,0,0,0,0,1
"543",1,0,0,0,0,1
"544",1,0,0,0,0,0
"545",1,0,1,0,0,1
"546",0,1,0,1,0,0
"547",0,0,0,0,0,1
"548",1,0,0,0,0,0
"549",0,0,0,0,0,1
"550",1,0,1,0,0,0
"551",0,0,0,0,0,0
"552",1,0,1,0,1,0
"553",0,0,0,0,0,0
"554",0,0,0,0,0,0
"555",1,0,1,0,1,1
"556",1,0,0,0,0,1
"557",1,0,1,0,1,0
"558",0,0,1,0,0,1
"559",1,0,0,0,0,1
"560",1,0,0,0,0,1
"561",1,0,0,0,0,0
"562",1,0,0,0,0,1
"563",0,0,0,0,0,0
"564",0,0,1,0,1,0
"565",0,0,1,0,0,1
"566",0,0,0,0,0,0
"567",1,0,1,0,1,0
"568",1,0,1,0,0,1
"569",1,0,0,0,0,1
"570",0,0,0,0,0,1
"571",1,0,0,0,0,1
"572",1,0,0,0,0,1
"573",1,0,0,0,0,0
"574",0,0,1,0,0,0
"575",0,0,0,0,0,0
"576",0,0,0,0,0,0
"577",1,0,0,0,0,0
"578",1,0,0,0,0,0
"579",0,0,0,0,0,0
"580",0,0,0,0,0,1
"581",0,0,0,0,0,1
"582",1,0,1,0,0,0
"583",0,0,0,0,0,0
"584",0,0,0,0,0,0
"585",0,0,0,0,0,1
"586",0,0,0,0,0,0
"587",0,0,0,0,0,1
"588",0,0,0,0,0,0
"589",0,0,1,0,1,1
"590",0,0,1,0,0,1
"591",1,0,0,1,1,0
"592",0,0,1,0,0,1
"593",0,0,0,0,0,0
"594",1,0,0,0,0,0
"595",0,0,1,0,0,1
"596",1,0,0,0,0,0
"597",1,0,0,0,0,0
"598",1,0,0,1,0,0
"599",1,0,0,0,0,0
"600",0,0,0,0,0,1
"601",1,1,1,0,0,0
"602",1,0,0,0,0,0
"603",1,0,1,0,0,1
"604",0,0,1,0,0,0
"605",0,0,1,0,0,1
"606",1,0,0,0,0,0
"607",0,0,0,0,0,0
"608",1,0,0,0,0,0
"609",1,0,1,0,1,0
"610",0,0,0,0,0,0
"611",1,0,0,0,0,0
"612",0,0,0,0,0,0
"613",1,0,0,0,0,1
"614",1,0,1,1,1,1
"615",1,0,0,0,0,0
"616",1,1,1,0,0,1
"617",1,0,0,0,0,0
"618",0,1,0,0,0,1
"619",1,1,0,0,0,0
"620",0,0,0,0,0,1
"621",1,1,0,0,1,0
"622",0,0,1,0,1,0
"623",1,1,0,0,0,0
"624",0,0,0,0,0,0
"625",1,0,1,0,0,0
"626",0,0,1,0,0,1
"627",0,0,0,0,0,1
"628",0,0,1,0,0,0
"629",1,0,0,0,0,1
"630",0,1,0,1,0,1
"631",1,0,0,0,0,0
"632",1,0,0,0,0,0
"633",0,0,0,0,0,1
"634",1,0,0,0,0,1
"635",0,0,0,0,0,0
"636",1,0,0,0,0,0
"637",1,0,0,0,0,0
"638",1,0,0,0,0,1
"639",0,0,0,0,0,0
"640",1,0,0,0,0,1
"641",1,0,1,0,0,1
"642",1,0,0,0,0,0
"643",1,0,0,0,0,0
"644",0,0,0,0,0,0
"645",1,0,1,0,0,1
"646",1,1,1,1,0,0
"647",1,0,0,0,0,1
"648",1,0,0,0,0,0
"649",1,0,0,0,0,1
"650",0,0,0,0,0,0
"651",0,1,0,0,0,0
"652",0,0,0,0,0,0
"653",1,0,0,0,0,0
"654",0,0,0,0,0,0
"655",0,0,0,0,0,0
"656",1,0,0,0,0,0
"657",0,0,0,0,0,0
"658",1,1,0,0,0,0
"659",0,0,0,0,0,1
"660",0,0,0,0,0,0
"661",1,0,0,0,0,0
"662",0,0,0,0,0,1
"663",0,0,0,0,0,1
"664",1,0,1,1,1,1
"665",1,0,0,0,0,0
"666",1,0,0,0,0,0
"667",1,0,0,0,0,0
"668",0,0,0,0,1,0
"669",1,0,0,0,0,1
"670",0,0,0,0,0,0
"671",1,0,0,0,0,0
"672",1,0,0,0,0,1
"673",1,0,1,0,1,0
"674",0,0,1,1,1,1
"675",1,0,1,0,0,1
"676",0,0,0,0,0,1
"677",1,1,0,1,0,1
"678",1,0,0,0,0,1
"679",1,0,0,0,0,1
"680",0,1,0,1,0,1
"681",0,1,0,0,0,0
"682",1,0,0,0,0,0
"683",1,0,0,0,0,1
"684",1,0,0,0,0,1
"685",0,0,0,0,0,1
"686",1,0,0,0,0,0
"687",1,0,0,0,0,1
"688",1,0,0,0,0,0
"689",1,1,1,0,0,1
"690",1,0,0,0,0,1
"691",0,0,0,0,0,1
"692",0,0,0,0,1,1
"693",1,0,0,0,0,1
"694",0,0,0,0,0,1
"695",0,0,0,0,0,1
"696",0,0,0,0,0,0
"697",0,0,1,0,1,1
"698",0,0,0,0,0,1
"699",1,0,0,0,1,1
"700",0,0,1,0,0,0
"701",0,0,1,0,1,0
"702",1,0,0,0,0,1
"703",0,0,0,0,0,0
"704",0,0,1,1,1,0
"705",1,0,0,0,0,1
"706",0,0,0,0,0,1
"707",0,1,1,1,0,0
"708",1,0,0,0,0,0
"709",1,0,0,0,0,0
"710",0,0,1,0,1,1
"711",1,0,0,0,0,0
"712",1,0,0,0,0,1
"713",1,0,0,0,0,0
"714",1,1,0,1,1,1
"715",0,0,0,0,0,0
"716",1,0,0,0,0,0
"717",0,0,0,0,0,1
"718",0,0,0,0,1,0
"719",1,0,0,0,0,0
"720",0,0,1,1,1,0
"721",0,0,1,0,0,0
"722",1,1,0,0,0,0
"723",1,0,0,0,0,0
"724",1,0,0,0,0,1
"725",0,0,1,0,0,0
"726",1,0,0,0,0,1
"727",0,0,0,0,0,1
"728",1,0,0,0,0,1
"729",0,0,0,0,0,0
"730",1,0,0,0,0,0
"731",1,1,0,1,0,1
"732",0,0,1,0,0,0
"733",1,0,0,0,0,0
"734",0,0,0,0,0,1
"735",0,0,0,0,0,0
"736",1,0,1,0,0,0
"737",0,1,0,0,0,0
"738",1,0,0,0,0,0
"739",1,1,0,1,0,1
"740",0,0,0,0,0,1
"741",0,0,1,0,1,1
"742",0,0,0,0,0,0
"743",0,0,0,0,0,1
"744",1,0,0,0,0,0
"745",1,0,0,0,0,1
"746",0,0,0,0,0,0
"747",1,0,0,0,0,1
"748",1,1,0,1,0,0
"749",1,1,0,1,0,0
"750",1,0,1,0,0,1
"751",0,0,0,0,0,1
"752",0,0,0,0,0,0
"753",1,0,1,0,1,1
"754",1,0,0,0,0,0
"755",1,0,0,0,0,0
"756",0,0,0,0,0,0
"757",1,1,1,1,0,0
"758",1,0,0,0,0,1
"759",1,0,0,0,0,0
"760",1,0,1,0,1,0
"761",0,0,1,0,1,0
"762",0,0,0,0,0,1
"763",1,0,0,0,0,0
"764",0,0,0,0,0,0
"765",1,0,0,0,0,1
"766",0,0,0,0,0,0
"767",0,0,1,0,0,0
"768",1,0,0,0,0,1
"769",0,0,0,0,0,0
"770",1,1,1,1,1,0
"771",0,0,0,0,0,0
"772",1,0,0,0,0,0
"773",1,0,0,0,0,0
"774",0,0,0,0,0,0
"775",1,1,0,1,1,1
