"","V507 0","V7101 1","V7104 1","V7112 1","V7115 1","V7118 1","V7127 1","V7097 1","V7133 1","V7139 1","V7142 1","V8451 1","V7426 1","V7121 1","V7124 1","V7164 1","V7145 1","V7109 1","V7152 1","V7155 1","V7158 1","V7161 1","V7601 1","V8480 1","V7221 2","V7552 4","V7551 2","V8512 3","V8502 3","V8505 3","V8509 3","V8514 3","V8536 3","V7501 3","V7507 3","V8565 3","V7202 0","V7215 2","V7206 0","V8517 1","V8526 3","V8527 3","V8528 3","V8529 3","V8530 3","V8531 3","V7112D NA"
"V7158",0.00864796505498642,0.160957931665603,0.16352680407678,0.227403482745508,0.40599115015905,0.408223372253021,0.367170217692262,0.240100662701797,0.428393993099703,0.130421203028314,0.236693977386526,0.0558837537311799,0.0923119543099386,0.510408994059479,0.479770206165994,0.228774047833934,0.744676493536577,0.162615274661799,0.280736980702217,0.279768817328536,1,0.07034930805756,0.11888888992333,0.0547646153975296,0.347415206448909,0.0363573216939468,0.057372067947083,0.0744026664859483,0.0758576301695977,0.0731425739119737,0.0786254251310344,0.0730733283892126,0.0441298296811337,0.0346305635980654,0.034122726081636,0.0543857075528299,0.415113994499328,0.404319620130216,0.35179346288626,0.0443231029093385,0.0424908913999914,0.0434756307014188,0.0423225571280208,0.0432745423584985,0.042784247196757,0.0455853992434847,0.227403482745508
"V7161",-0.000132194719788381,0.0130338792066907,0.0132346267128434,0.0242102045715154,0.0473765813275787,0.0448710961081453,0.0280868035049114,0.135554920462507,0.0331244246453565,0.383149882276894,0.220449056898472,-0.246740876306179,-0.375607667324796,0.0515387167242064,0.0469495728220406,-0.626106615225528,0.0657570905262412,0.0213171890397042,0.162440869340791,0.161858324604614,0.07034930805756,1,-0.297512054026422,-0.246585373358262,0.0307153860887367,0.229413511205798,-0.265099177697617,0.393419564841583,0.392308129130765,0.393959879262733,0.387881656412141,0.393798732882288,-0.265911138737203,-0.178345748645861,-0.176472371729915,-0.266941094918587,0.0294557530256807,0.0407206429032115,0.0324682221578072,-0.259992200043216,-0.268644156756665,-0.268151740030794,-0.266347604923442,-0.267692766327875,-0.267442460077194,-0.266136151741744,0.0242102045715154
"V7601",0.00171533489054827,0.0328203200248418,0.0198869745935741,0.0341550041868457,0.0598194443816281,0.0736624678657695,0.0566645813334646,0.222099630472624,0.0690255110654858,-0.698737773316495,-0.568114878062292,-0.386850781476775,0.632662435093558,0.0731804879594803,0.0709069746461177,-0.0506485631233309,0.107885513097816,0.0166757246941377,0.252535861588967,0.2551110340728,0.11888888992333,-0.297512054026422,1,-0.386606977378223,0.0555718751272961,-0.694605563095106,0.852111943339916,-0.578597424869711,-0.583983517485705,-0.584374093363383,-0.575511420898674,-0.579499663006254,-0.416906729698965,-0.279618007642555,-0.276680848081546,-0.418521538560878,0.0693554870517799,0.0547114130376262,0.048035602391677,-0.407626767280252,-0.421191670939536,-0.420419639170553,-0.417591039845556,-0.419700040787384,-0.419307600061169,-0.417259514604137,0.0341550041868457
"V8480",-0.00104442744623319,0.0895840033273036,0.185190597071559,0.105562611748455,0.0477096285164382,0.0502202709478058,0.0812780593651922,-0.238081515523068,0.0699373138305023,0.157535008977647,0.275450786317836,0.939949344497599,-0.488089618485268,0.0441865135074018,0.0525850364616891,0.353600675502123,0.0573500253613307,0.117253949695858,-0.30456451935877,-0.303869690995329,0.0547646153975296,-0.246585373358262,-0.386606977378223,1,0.0451532137584261,0.303564464146637,-0.344487527171004,0.570165298458009,0.587729608548258,0.576317968595064,0.578187237870997,0.570730482794857,0.787517079707085,-0.231754343661347,-0.229319952929401,0.807247319429841,0.0477169829251867,0.0481371080207627,0.0444376947714931,0.778533624420845,0.78246283828806,0.787383483822412,0.782794819413959,0.788272263838899,0.780592917948847,0.792242524765877,0.105562611748455
"V7221",-0.0448199912665959,-0.0357355673275209,0.0254522076202495,-0.00791388361790439,0.158842419750551,0.149230560077712,0.108685790424991,0.0904398937393175,0.151835405837731,0.0448542558410642,0.0913477239698379,0.0419951147264019,0.0606742338097999,0.207863326116102,0.173241779337679,0.0921332809487462,0.340229391104921,0.062133814650659,0.127668590167162,0.128254635094457,0.347415206448909,0.0307153860887367,0.0555718751272961,0.0451532137584261,1,0.0264053759289556,0.0694364142456983,0.108240919884207,0.083073235639395,0.104473690151373,0.0850622966095012,0.106099400000928,0.0687659875945641,0.0380262365161805,0.0401866638600617,0.0703182885306379,0.39372965502042,0.44658292323887,0.373610611269697,0.0415576011695005,0.0777239095884502,0.0779988045793159,0.076553385017484,0.0744301856226181,0.074742667042261,0.0690906977868195,-0.00791388361790439
"V7552",-0.00505248075000697,0.0501303195925807,0.0622002337856379,0.0434811240502311,0.0317809556610779,0.0298347212033914,0.0243020516980051,-0.119310917992674,0.0302001336838216,0.53297760558638,0.804684057091933,0.303487633552577,-0.43876984716764,0.0406354508673942,0.0393170824897373,-0.28038244974827,0.0337160691967225,0.0519639090599189,-0.144854229443344,-0.146199482258162,0.0363573216939468,0.229413511205798,-0.694605563095106,0.303564464146637,0.0264053759289556,1,-0.634121961863689,0.448239504110927,0.453643480307684,0.45245243416502,0.446738878894819,0.449154345223552,0.321109068151367,0.214972040303279,0.213220830600381,0.32497794284467,0.0375347835479749,0.0339478811425604,0.0350608428517013,0.316896294276779,0.323604099333026,0.3241241402368,0.32231511564595,0.325351202257218,0.322963948812529,0.324525124904663,0.0434811240502311
"V7551",-0.000804072781759227,0.0216478813059361,0.0261613410743886,0.0239716622340335,0.0363087853280064,0.0455381838967026,0.0365225990944473,0.19041909928528,0.0477770947662046,-0.622612787030187,-0.525872179781499,-0.344704769683267,0.607436625639355,0.0350680282018361,0.0346597574187194,-0.0444248510703425,0.0544133279587463,0.0226917763656865,0.212424090836792,0.214099552089828,0.057372067947083,-0.265099177697617,0.852111943339916,-0.344487527171004,0.0694364142456983,-0.634121961863689,1,-0.515561300710515,-0.520360597761438,-0.520708621791388,-0.512811505856754,-0.516365243222584,-0.371486229630154,-0.249154623795189,-0.246537457284279,-0.372925110830557,0.052900459000008,0.0475010303414382,0.042208142022365,-0.363217285992506,-0.375304341817491,-0.374616420154002,-0.372095986628892,-0.373975219446102,-0.373625533736206,-0.371800579879159,0.0239716622340335
"V8512",0.00172227056576851,0.00692791886432317,0.0247392254509695,0.0207750812387315,0.0497202116441469,0.0420132954887259,0.042217459698919,-0.188408942634046,0.0502689315040087,0.374665255284569,0.387847855894357,0.566595441466064,-0.730476718957228,0.0582015470098481,0.05361840206201,-0.0765635405575447,0.075868994916196,0.0250162322880957,-0.219667994400796,-0.219215703557065,0.0744026664859483,0.393419564841583,-0.578597424869711,0.570165298458009,0.108240919884207,0.448239504110927,-0.515561300710515,1,0.9394948754276,0.969504811212815,0.949360541779834,0.980258149215916,0.665332902369075,-0.34684440346673,-0.343201085339927,0.696744408357211,0.063320870466119,0.089585322266907,0.0779749608951234,0.636269599832878,0.673774215671371,0.672902140581461,0.668467654911177,0.673169600968954,0.673366635719512,0.664453543873564,0.0207750812387315
"V8502",0.0129970012546526,0.031434038811055,0.0429319556931499,0.0428702478599211,0.0555691463012309,0.0494533181963326,0.0604206457008949,-0.190541115445107,0.0616670960398789,0.374790144930621,0.402333101927655,0.583502306392701,-0.737276637334011,0.0620897907713238,0.0585610184168957,-0.0720964998362481,0.0764321695675027,0.0352396188938791,-0.232824668366309,-0.233280150712101,0.0758576301695977,0.392308129130765,-0.583983517485705,0.587729608548258,0.083073235639395,0.453643480307684,-0.520360597761438,0.9394948754276,1,0.947233756128314,0.965600440856707,0.939798059024173,0.665646522180539,-0.350073135569766,-0.346395902240411,0.695840403884655,0.0654281327908188,0.0849842146670188,0.0683865878262094,0.639600687609632,0.658175532911693,0.660249472477943,0.656185364124258,0.658605038150111,0.656587950908298,0.663981683687546,0.0428702478599211
"V8505",0.00487514604073725,0.00550835068136513,0.0224130509322306,0.0191887492579894,0.0492227813799193,0.0411868132630369,0.0402538515529276,-0.19289625466843,0.0488005900932976,0.376571079769003,0.389086489022916,0.57300858136341,-0.737769737671772,0.0576189641607677,0.0518307722003278,-0.0758137599745768,0.0749307156516038,0.0231006391402948,-0.223522754028985,-0.223245453693873,0.0731425739119737,0.393959879262733,-0.584374093363383,0.576317968595064,0.104473690151373,0.45245243416502,-0.520708621791388,0.969504811212815,0.947233756128314,1,0.945980924669254,0.968748461192794,0.660232867871481,-0.350307269099366,-0.346627576387867,0.689497068508856,0.0636055923404662,0.0880245415997216,0.0777606996203234,0.632429002583741,0.66989485325794,0.66884551151966,0.664264334877576,0.668958008989198,0.669398473288507,0.659901597541581,0.0191887492579894
